id,sitio,fecha,refugios,tratamiento,individuo,edad,ubicacion,id2,hobotc,idhobo,hobota,hora,pipf,peso,peso_1,peso1,peso2,pesosuma,actividad,horarios,medicont,tiempo,exacta,variacion,perdida,restante,perdida2,restante2,suma
26,Conservado,22/07/2019,Helechos,A,3,Juvenil,Juvenil interior,Juvenil 2,120,124CHJ2,558,18:30,,35.34,37.6,35.69,1.91,37.6,Alta,06:30 p. m. a 09:30 p. m.,H,H,H,-5.079787234,5.079787234,94.92021277,0.05,0.95,1
28,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,21:30,PI,118.91,118.91,118.02,0.89,118.91,Alta,09:30 p. m. a 12:30 a. m.,A,A,A,-0.748465226,0.748465226,99.25153477,0.01,0.99,1
29,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,00:30,,118.02,118.91,117.75,1.16,118.91,Baja,12:30 a. m. a 04:30 a. m.,B,B,B,-0.97552771,0.97552771,99.02447229,0.01,0.99,1
30,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,04:30,,117.75,118.91,117.57,1.34,118.91,Baja,04:30 a. m. a 08:30 a. m.,C,C,C,-1.1269027,1.1269027,98.8730973,0.01,0.99,1
31,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,08:30,,117.57,118.91,116.9,2.01,118.91,Alta,08:30 a. m. a 10:30 a. m.,D,D,D,-1.690354049,1.690354049,98.30964595,0.02,0.98,1
32,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,10:30,,116.9,118.91,117.39,1.52,118.91,Alta,10:30 a. m. a 12:30 p. m.,E,E,E,-1.278277689,1.278277689,98.72172231,0.01,0.99,1
33,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,12:30,,117.39,118.91,117.08,1.83,118.91,Baja,12:30 p. m. a 03:30 p. m.,F,F,F,-1.53897906,1.53897906,98.46102094,0.02,0.98,1
34,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,15:30,,117.08,118.91,115.77,3.14,118.91,Baja,03:30 p. m. a 06:30 p. m.,G,G,G,-2.640652594,2.640652594,97.35934741,0.03,0.97,1
35,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,18:30,,115.77,118.91,117.44,1.47,118.91,Alta,06:30 p. m. a 09:30 p. m.,H,H,H,-1.236229081,1.236229081,98.76377092,0.01,0.99,1
37,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,15:30,PI,42.49,42.49,42.24,0.25,42.49,Baja,03:30 p. m. a 06:30 p. m.,A,G,A,-0.588373735,0.588373735,99.41162627,0.01,0.99,1
38,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,18:30,,42.24,42.49,42.16,0.33,42.49,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.77665333,0.77665333,99.22334667,0.01,0.99,1
39,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,21:30,,42.16,42.49,42.06,0.43,42.49,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-1.012002824,1.012002824,98.98799718,0.01,0.99,1
40,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,00:30,,42.06,42.49,42.01,0.48,42.49,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.129677571,1.129677571,98.87032243,0.01,0.99,1
41,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,04:30,,42.01,42.49,42.1,0.39,42.49,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-0.917863027,0.917863027,99.08213697,0.01,0.99,1
42,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,08:30,,42.1,42.49,42.04,0.45,42.49,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.059072723,1.059072723,98.94092728,0.01,0.99,1
43,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,10:30,,42.04,42.49,41.99,0.5,42.49,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.17674747,1.17674747,98.82325253,0.01,0.99,1
44,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,12:30,,41.99,42.49,41.95,0.54,42.49,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.270887268,1.270887268,98.72911273,0.01,0.99,1
47,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,113CHA3,554,18:30,,137.86,138.55,137.61,0.94,138.55,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.678455431,0.678455431,99.32154457,0.01,0.99,1
48,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,21:30,,137.61,138.55,137.45,1.1,138.55,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-0.793937207,0.793937207,99.20606279,0.01,0.99,1
49,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,00:30,,137.45,138.55,136.88,1.67,138.55,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.205341032,1.205341032,98.79465897,0.01,0.99,1
50,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,04:30,,136.88,138.55,136.9,1.65,138.55,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.19090581,1.19090581,98.80909419,0.01,0.99,1
51,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,08:30,,136.9,138.55,136.87,1.68,138.55,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.212558643,1.212558643,98.78744136,0.01,0.99,1
52,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,10:30,,136.87,138.55,136.82,1.73,138.55,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.248646698,1.248646698,98.7513533,0.01,0.99,1
53,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,12:30,,136.82,138.55,136.68,1.87,138.55,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.349693252,1.349693252,98.65030675,0.01,0.99,1
56,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,18:30,PI,39.75,39.75,39.66,0.09,39.75,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-1.047904192,1.047904192,98.95209581,0.01,0.99,1
57,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,21:30,,39.66,39.75,39.58,0.17,39.75,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-1.24750499,1.24750499,98.75249501,0.01,0.99,1
58,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,00:30,,39.58,39.75,39.5,0.25,39.75,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.447105788,1.447105788,98.55289421,0.01,0.99,1
59,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,04:30,,39.5,39.75,39.48,0.27,39.75,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.497005988,1.497005988,98.50299401,0.01,0.99,1
60,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,08:30,,39.48,39.75,39.45,0.3,39.75,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.571856287,1.571856287,98.42814371,0.02,0.98,1
61,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,10:30,,39.45,39.75,39.43,0.32,39.75,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.621756487,1.621756487,98.37824351,0.02,0.98,1
62,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,12:30,,39.43,39.75,39.4,0.35,39.75,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.696606786,1.696606786,98.30339321,0.02,0.98,1
64,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,15:30,PI,117.74,117.74,116.94,0.8,117.74,Baja,03:30 p. m. a 06:30 p. m.,A,G,A,-0.679463224,0.679463224,99.32053678,0.01,0.99,1
65,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,18:30,,116.94,117.74,116.73,1.01,117.74,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.85782232,0.85782232,99.14217768,0.01,0.99,1
66,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,21:30,,116.73,117.74,116.52,1.22,117.74,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-1.036181417,1.036181417,98.96381858,0.01,0.99,1
67,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,00:30,,116.52,117.74,116.35,1.39,117.74,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.180567352,1.180567352,98.81943265,0.01,0.99,1
68,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,04:30,,116.35,117.74,116.29,1.45,117.74,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.231527094,1.231527094,98.76847291,0.01,0.99,1
69,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,08:30,,116.29,117.74,116.24,1.5,117.74,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.273993545,1.273993545,98.72600645,0.01,0.99,1
70,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,10:30,,116.24,117.74,116.17,1.57,117.74,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.333446577,1.333446577,98.66655342,0.01,0.99,1
71,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,12:30,,116.17,117.74,116.1,1.64,117.74,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.392899609,1.392899609,98.60710039,0.01,0.99,1
75,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,04:30,,36.06,36.23,35.59,0.64,36.23,Baja,04:30 a. m. a 08:30 a. m.,C,C,C,-1.766491858,1.766491858,98.23350814,0.02,0.98,1
76,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,08:30,,35.59,36.23,35.84,0.39,36.23,Alta,08:30 a. m. a 10:30 a. m.,D,D,D,-1.076455976,1.076455976,98.92354402,0.01,0.99,1
77,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,10:30,,35.84,36.23,35.9,0.33,36.23,Alta,10:30 a. m. a 12:30 p. m.,E,E,E,-0.910847364,0.910847364,99.08915264,0.01,0.99,1
78,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,12:30,,35.9,36.23,35.62,0.61,36.23,Baja,12:30 p. m. a 03:30 p. m.,F,F,F,-1.683687552,1.683687552,98.31631245,0.02,0.98,1
79,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,15:30,,35.62,36.23,35.32,0.91,36.23,Baja,03:30 p. m. a 06:30 p. m.,G,G,G,-2.51173061,2.51173061,97.48826939,0.03,0.97,1
80,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,18:30,,35.32,36.23,35.84,0.39,36.23,Alta,06:30 p. m. a 09:30 p. m.,H,H,H,-1.076455976,1.076455976,98.92354402,0.01,0.99,1
93,Conservado,22/07/2019,Base de árbol,B,11,Juvenil,Juvenil interior,Juvenil 2,118,118CBAJ2,556,04:30,,38.2,38.2,37.8,0.4,38.2,Baja,04:30 a. m. a 08:30 a. m.,C,C,A,-1.047120419,1.047120419,98.95287958,0.01,0.99,1
96,Conservado,22/07/2019,Base de árbol,B,11,Juvenil,Juvenil interior,Juvenil 2,118,118CBAJ2,556,12:30,,38.2,38.2,37.96,0.24,38.2,Baja,12:30 p. m. a 03:30 p. m.,F,F,D,-0.628272251,0.628272251,99.37172775,0.01,0.99,1
97,Conservado,22/07/2019,Base de árbol,B,11,Juvenil,Juvenil interior,Juvenil 2,118,118CBAJ2,556,15:30,,37.96,38.2,37.74,0.46,38.2,Baja,03:30 p. m. a 06:30 p. m.,G,G,E,-1.204188482,1.204188482,98.79581152,0.01,0.99,1
102,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,04:30,,116.63,116.99,115.64,1.35,116.99,Baja,04:30 a. m. a 08:30 a. m.,C,C,B,-1.153944782,1.153944782,98.84605522,0.01,0.99,1
105,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,12:30,,116.65,116.99,116.1,0.89,116.99,Baja,12:30 p. m. a 03:30 p. m.,F,F,E,-0.760748782,0.760748782,99.23925122,0.01,0.99,1
106,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,15:30,,116.1,116.99,115.47,1.52,116.99,Baja,03:30 p. m. a 06:30 p. m.,G,G,F,-1.299256347,1.299256347,98.70074365,0.01,0.99,1
110,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,18:30,,40.38,40.57,40.27,0.3,40.57,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.739462657,0.739462657,99.26053734,0.01,0.99,1
111,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,21:30,,40.27,40.57,40.18,0.39,40.57,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-0.961301454,0.961301454,99.03869855,0.01,0.99,1
112,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,00:30,,40.18,40.57,40.07,0.5,40.57,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.232437762,1.232437762,98.76756224,0.01,0.99,1
113,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,04:30,,40.07,40.57,40,0.57,40.57,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.404979049,1.404979049,98.59502095,0.01,0.99,1
114,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,08:30,,40,40.57,39.9,0.67,40.57,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.651466601,1.651466601,98.3485334,0.02,0.98,1
115,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,10:30,,39.9,40.57,39.87,0.7,40.57,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.725412867,1.725412867,98.27458713,0.02,0.98,1
116,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,12:30,,39.87,40.57,39.78,0.79,40.57,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.947251664,1.947251664,98.05274834,0.02,0.98,1
118,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,15:30,PI,133.89,133.89,133.2,0.69,133.89,Baja,03:30 p. m. a 06:30 p. m.,A,G,A,-0.51534842,0.51534842,99.48465158,0.01,0.99,1
119,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,18:30,,133.2,133.89,132.93,0.96,133.89,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.717006498,0.717006498,99.2829935,0.01,0.99,1
120,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,21:30,,132.93,133.89,132.64,1.25,133.89,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-0.933602211,0.933602211,99.06639779,0.01,0.99,1
121,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,00:30,,132.64,133.89,132.39,1.5,133.89,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.120322653,1.120322653,98.87967735,0.01,0.99,1
122,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,04:30,,132.39,133.89,132.31,1.58,133.89,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.180073194,1.180073194,98.81992681,0.01,0.99,1
123,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,08:30,,132.31,133.89,132.12,1.77,133.89,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.32198073,1.32198073,98.67801927,0.01,0.99,1
124,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,10:30,,132.12,133.89,131.98,1.91,133.89,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.426544178,1.426544178,98.57345582,0.01,0.99,1
125,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,12:30,,131.98,133.89,131.8,2.09,133.89,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.560982896,1.560982896,98.4390171,0.02,0.98,1
128,Conservado,22/09/2019,Base de árbol,B,15,Juvenil,Juvenil interior,Juvenil 4,115,115CBAJ4,560,18:30,,36.82,36.95,36.7,0.25,36.95,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.676589986,0.676589986,99.32341001,0.01,0.99,1
129,Conservado,22/09/2019,Base de árbol,B,15,Juvenil,Juvenil interior,Juvenil 4,115,115CBAJ4,560,21:30,,36.7,36.95,36.61,0.34,36.95,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-0.920162382,0.920162382,99.07983762,0.01,0.99,1
130,Conservado,22/09/2019,Base de árbol,B,15,Juvenil,Juvenil interior,Juvenil 4,115,115CBAJ4,560,00:30,,36.61,36.95,36.51,0.44,36.95,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.190798376,1.190798376,98.80920162,0.01,0.99,1
131,Conservado,22/09/2019,Base de árbol,B,15,Juvenil,Juvenil interior,Juvenil 4,115,115CBAJ4,560,04:30,,36.51,36.95,36.47,0.48,36.95,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.299052774,1.299052774,98.70094723,0.01,0.99,1
132,Conservado,22/09/2019,Base de árbol,B,15,Juvenil,Juvenil interior,Juvenil 4,115,115CBAJ4,560,08:30,,36.47,36.95,36.41,0.54,36.95,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.461434371,1.461434371,98.53856563,0.01,0.99,1
133,Conservado,22/09/2019,Base de árbol,B,15,Juvenil,Juvenil interior,Juvenil 4,115,115CBAJ4,560,10:30,,36.41,36.95,36.33,0.62,36.95,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.677943166,1.677943166,98.32205683,0.02,0.98,1
134,Conservado,22/09/2019,Base de árbol,B,15,Juvenil,Juvenil interior,Juvenil 4,115,115CBAJ4,560,12:30,,36.33,36.95,36.26,0.69,36.95,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.867388363,1.867388363,98.13261164,0.02,0.98,1
138,Conservado,22/09/2019,Base de árbol,B,16,Adulto,Adulto interior,Adulto 4,115,115CBAA4,560,21:30,,121.62,122.02,121.4,0.62,122.02,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-0.508113424,0.508113424,99.49188658,0.01,0.99,1
139,Conservado,22/09/2019,Base de árbol,B,16,Adulto,Adulto interior,Adulto 4,115,115CBAA4,560,00:30,,121.4,122.02,121.24,0.78,122.02,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-0.639239469,0.639239469,99.36076053,0.01,0.99,1
140,Conservado,22/09/2019,Base de árbol,B,16,Adulto,Adulto interior,Adulto 4,115,115CBAA4,560,04:30,,121.24,122.02,121.18,0.84,122.02,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-0.688411736,0.688411736,99.31158826,0.01,0.99,1
141,Conservado,22/09/2019,Base de árbol,B,16,Adulto,Adulto interior,Adulto 4,115,115CBAA4,560,08:30,,121.18,122.02,121.09,0.93,122.02,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-0.762170136,0.762170136,99.23782986,0.01,0.99,1
