id,sitio,fecha,refugios,tratamiento,individuo,edad,ubicacion,id2,hobotc,idhobo,hobota,hora,pipf,peso,peso_1,peso1,peso2,pesosuma,actividad,horarios,medicont,tiempo,exacta,variacion,perdida,restante,logperdida
26,Conservado,22/07/2019,Helechos,A,3,Juvenil,Juvenil interior,Juvenil 2,120,124CHJ2,558,18:30,,35.34,37.6,35.69,1.91,37.6,Alta,06:30 p. m. a 09:30 p. m.,H,H,H,-5.079787234,5.079787234,94.92021277,0.705845522
28,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,21:30,PI,118.91,118.91,118.02,0.89,118.91,Alta,09:30 p. m. a 12:30 a. m.,A,A,A,-0.748465226,0.748465226,99.25153477,-0.125828372
29,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,00:30,,118.02,118.91,117.75,1.16,118.91,Baja,12:30 a. m. a 04:30 a. m.,B,B,B,-0.97552771,0.97552771,99.02447229,-0.01076039
30,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,04:30,,117.75,118.91,117.57,1.34,118.91,Baja,04:30 a. m. a 08:30 a. m.,C,C,C,-1.1269027,1.1269027,98.8730973,0.051886419
31,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,08:30,,117.57,118.91,116.9,2.01,118.91,Alta,08:30 a. m. a 10:30 a. m.,D,D,D,-1.690354049,1.690354049,98.30964595,0.227977678
32,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,10:30,,116.9,118.91,117.39,1.52,118.91,Alta,10:30 a. m. a 12:30 p. m.,E,E,E,-1.278277689,1.278277689,98.72172231,0.106625209
33,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,12:30,,117.39,118.91,117.08,1.83,118.91,Baja,12:30 p. m. a 03:30 p. m.,F,F,F,-1.53897906,1.53897906,98.46102094,0.187232711
34,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,15:30,,117.08,118.91,115.77,3.14,118.91,Baja,03:30 p. m. a 06:30 p. m.,G,G,G,-2.640652594,2.640652594,97.35934741,0.421711269
35,Conservado,22/07/2019,Helechos,A,4,Adulto,Adulto interior,Adulto 2,120,120CHA2,558,18:30,,115.77,118.91,117.44,1.47,118.91,Alta,06:30 p. m. a 09:30 p. m.,H,H,H,-1.236229081,1.236229081,98.76377092,0.092098956
37,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,15:30,PI,42.49,42.49,42.24,0.25,42.49,Baja,03:30 p. m. a 06:30 p. m.,A,G,A,-0.588373735,0.588373735,99.41162627,-0.230346722
38,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,18:30,,42.24,42.49,42.16,0.33,42.49,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.77665333,0.77665333,99.22334667,-0.109772791
39,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,21:30,,42.16,42.49,42.06,0.43,42.49,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-1.012002824,1.012002824,98.98799718,0.005181724
40,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,00:30,,42.06,42.49,42.01,0.48,42.49,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.129677571,1.129677571,98.87032243,0.052954506
41,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,04:30,,42.01,42.49,42.1,0.39,42.49,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-0.917863027,0.917863027,99.08213697,-0.037222124
42,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,08:30,,42.1,42.49,42.04,0.45,42.49,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.059072723,1.059072723,98.94092728,0.024925783
43,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,10:30,,42.04,42.49,41.99,0.5,42.49,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.17674747,1.17674747,98.82325253,0.070683273
44,Conservado,22/09/2019,Helechos,A,5,Juvenil,Juvenil interior,Juvenil 3,113,113CHJ3,554,12:30,,41.99,42.49,41.95,0.54,42.49,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.270887268,1.270887268,98.72911273,0.104107029
46,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,113CHA3,554,15:30,PI,138.55,138.55,137.86,0.69,138.55,Baja,03:30 p. m. a 06:30 p. m.,A,G,A,-0.498015157,0.498015157,99.50198484,-0.302757439
47,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,113CHA3,554,18:30,,137.86,138.55,137.61,0.94,138.55,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.678455431,0.678455431,99.32154457,-0.168478677
48,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,21:30,,137.61,138.55,137.45,1.1,138.55,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-0.793937207,0.793937207,99.20606279,-0.100213845
49,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,00:30,,137.45,138.55,136.88,1.67,138.55,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.205341032,1.205341032,98.79465897,0.081109941
50,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,04:30,,136.88,138.55,136.9,1.65,138.55,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.19090581,1.19090581,98.80909419,0.075877414
51,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,08:30,,136.9,138.55,136.87,1.68,138.55,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.212558643,1.212558643,98.78744136,0.083702752
52,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,10:30,,136.87,138.55,136.82,1.73,138.55,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.248646698,1.248646698,98.7513533,0.096439573
53,Conservado,22/09/2019,Helechos,A,6,Adulto,Adulto interior,Adulto 3,113,114CHA3,554,12:30,,136.82,138.55,136.68,1.87,138.55,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.349693252,1.349693252,98.65030675,0.130235077
56,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,18:30,PI,39.75,39.75,39.66,0.09,39.75,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-1.047904192,1.047904192,98.95209581,0.020321578
57,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,21:30,,39.66,39.75,39.58,0.17,39.75,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-1.24750499,1.24750499,98.75249501,0.096042291
58,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,00:30,,39.58,39.75,39.5,0.25,39.75,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.447105788,1.447105788,98.55289421,0.160500281
59,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,04:30,,39.5,39.75,39.48,0.27,39.75,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.497005988,1.497005988,98.50299401,0.175223538
60,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,08:30,,39.48,39.75,39.45,0.3,39.75,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.571856287,1.571856287,98.42814371,0.196412836
61,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,10:30,,39.45,39.75,39.43,0.32,39.75,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.621756487,1.621756487,98.37824351,0.209985644
62,Conservado,22/09/2019,Helechos,A,7,Juvenil,Juvenil interior,Juvenil 4,123,123CHJ4,555,12:30,,39.43,39.75,39.4,0.35,39.75,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.696606786,1.696606786,98.30339321,0.2295812
64,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,15:30,PI,117.74,117.74,116.94,0.8,117.74,Baja,03:30 p. m. a 06:30 p. m.,A,G,A,-0.679463224,0.679463224,99.32053678,-0.167834045
65,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,18:30,,116.94,117.74,116.73,1.01,117.74,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.85782232,0.85782232,99.14217768,-0.066602658
66,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,21:30,,116.73,117.74,116.52,1.22,117.74,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-1.036181417,1.036181417,98.96381858,0.015435799
67,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,00:30,,116.52,117.74,116.35,1.39,117.74,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.180567352,1.180567352,98.81943265,0.072090769
68,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,04:30,,116.35,117.74,116.29,1.45,117.74,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.231527094,1.231527094,98.76847291,0.090443971
69,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,08:30,,116.29,117.74,116.24,1.5,117.74,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.273993545,1.273993545,98.72600645,0.105167228
70,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,10:30,,116.24,117.74,116.17,1.57,117.74,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.333446577,1.333446577,98.66655342,0.124975621
71,Conservado,22/09/2019,Helechos,A,8,Adulto,Adulto interior,Adulto 4,123,123CHA4,555,12:30,,116.17,117.74,116.1,1.64,117.74,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.392899609,1.392899609,98.60710039,0.143919816
73,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,21:30,PI,36.23,36.23,36.2,0.03,36.23,Alta,09:30 p. m. a 12:30 a. m.,A,A,A,-0.082804306,0.082804306,99.91719569,-1.081947078
74,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,00:30,,36.2,36.23,36.06,0.17,36.23,Baja,12:30 a. m. a 04:30 a. m.,B,B,B,-0.4692244,0.4692244,99.5307756,-0.328619412
75,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,04:30,,36.06,36.23,35.59,0.64,36.23,Baja,04:30 a. m. a 08:30 a. m.,C,C,C,-1.766491858,1.766491858,98.23350814,0.24711164
